Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68318722,3/13/2026 10:16,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Unsafe Driving,,10002,40 RIVINGTON STREET,RIVINGTON STREET,FORSYTH STREET,ELDRIDGE STREET,FORSYTH STREET,ELDRIDGE STREET,ADDRESS,NEW YORK,RIVINGTON STREET,,In Progress,,,,03 MANHATTAN,01,Precinct 5,1004210080,MANHATTAN,"986,720","201,924",MOBILE,Unspecified,MANHATTAN,,,"40 RIVINGTON STREET, MANHATTAN (NEW YORK), NY, 10002",,,,,40.72091111,-73.99108927,POINT (-73.991089268557 40.720911110529)
68387094,3/20/2026 2:25,,DOT,Department of Transportation,Street Condition,Pothole,,,11420,,,,,134 STREET,SUTTER AVENUE,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:25,10 QUEENS,28,Precinct 106,,QUEENS,"1,038,483","184,266",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.67227824,-73.80449242,POINT (-73.804492421482 40.672278235454)
68382459,3/20/2026 2:24,,DOT,Department of Transportation,Street Condition,Pothole,,,11420,134 STREET,134 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,BLOCKFACE,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:24,10 QUEENS,,Precinct 106,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
68390265,3/20/2026 2:23,,DOT,Department of Transportation,Street Condition,Pothole,,,11420,ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,NYPD SCG LORRAINE P ELLIOTT WAY,118 STREET,,,BLOCKFACE,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:23,10 QUEENS,,Precinct 106,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
68382460,3/20/2026 2:21,,DOT,Department of Transportation,Street Condition,Pothole,,,11420,ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,NYPD SCG LORRAINE P ELLIOTT WAY,120 STREET,,,BLOCKFACE,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:21,10 QUEENS,,Precinct 106,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
68379160,3/20/2026 2:21,,DOT,Department of Transportation,Street Condition,Pothole,,,11434,ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,144 DRIVE,144 ROAD,,,BLOCKFACE,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:21,13 QUEENS,,Unspecified,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
68389688,3/20/2026 2:20,3/20/2026 2:20,DOT,Department of Transportation,Street Condition,Pothole,,,11419,,,,,95 AVENUE,LEFFERTS BOULEVARD,INTERSECTION,QUEENS,,N/A,Closed,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3/20/2026 2:20,09 QUEENS,29,Precinct 102,,QUEENS,"1,032,173","191,573",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69237065,-73.82718766,POINT (-73.827187664499 40.692370654926)
68380851,3/20/2026 2:19,,DOT,Department of Transportation,Street Condition,Pothole,,,11004,,,,,82 AVENUE,263 STREET,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:19,13 QUEENS,23,Precinct 105,,QUEENS,"1,065,440","209,662",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74177768,-73.70700801,POINT (-73.707008009717 40.741777683528)
68388698,3/20/2026 2:19,,DOT,Department of Transportation,Street Condition,Pothole,,,11434,,,,,144 DRIVE,ROCKAWAY BOULEVARD,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:19,13 QUEENS,31,Unspecified,,QUEENS,"1,045,942","181,319",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.66414057,-73.77763013,POINT (-73.777630132254 40.664140566983)
68388699,3/20/2026 2:18,,DOT,Department of Transportation,Street Condition,Pothole,,,11419,,,,,ATLANTIC AVENUE,LEFFERTS BOULEVARD,INTERSECTION,QUEENS,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3/20/2026 2:18,09 QUEENS,29,Precinct 102,,QUEENS,"1,031,944","192,185",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69405169,-73.82800911,POINT (-73.828009112837 40.69405168718)
